order_id,order_item_id,existing_profit,calculated_profit,difference,existing_margin,calculated_margin,existing_roi,calculated_roi
113-9051037-3393825,9088,-23.54,-12.29,11.25,-26.97,-14.08,-26.73,-13.96
112-6387017-7785058,8650,124.98,0.00,-124.98,85.0,0.00,None,NULL
113-9292274-1498669,9195,7.4,0.00,-7.40,6.25,0.00,6.67,0.00
111-2961835-2312231,8428,-8.64,0.00,8.64,None,NULL,None,NULL
114-7734720-4380234,9089,6.93,-9.95,-16.88,12.15,-14.83,13.83,-23.60
111-1441316-0900215,8992,21.03,-9.44,-30.47,22.83,-9.02,29.58,-14.71
112-6047960-9321044,9355,-29.92,-9.64,20.28,-20.83,-5.70,-17.24,-5.70
113-3349272-2165831,9127,4.51,-7.97,-12.48,4.89,-7.34,5.14,-9.59
111-1271929-3745020,9042,17.43,-10.70,-28.13,13.96,-7.28,16.22,-10.58
111-8424219-6299428,1211,10.73,-10.08,-20.81,15.92,-14.96,23.06,-26.20
111-3598597-4325820,7110,-35.48,-10.76,24.72,None,NULL,None,NULL
112-0878515-5292226,8766,42.46,0.00,-42.46,85.01,0.00,None,NULL
114-6659967-2816224,8878,-25.84,0.00,25.84,None,NULL,None,NULL
113-5896861-1530657,8809,23.47,-6.92,-30.39,34.52,-8.65,52.73,-17.30
113-5468395-0944202,7129,82.92,-2.93,-85.85,None,-3.00,None,NULL
114-5077083-5170635,8712,54.65,0.00,-54.65,74.66,0.00,None,NULL
112-3331205-4230650,7179,57.88,0.00,-57.88,None,0.00,None,NULL
112-7217630-0449839,1178,209.7,-11.97,-221.67,97.93,-4.75,4733.63,NULL
112-6619573-5930630,9348,31.83,0.00,-31.83,63.67,0.00,None,NULL
114-2993680-0265835,9360,117.8,0.00,-117.80,78.58,0.00,None,NULL
114-8818365-5915421,7462,30.21,-7.48,-37.69,82.97,-17.46,487.26,NULL
114-1258166-7673019,8720,89.36,0.00,-89.36,78.36,0.00,None,NULL
112-3632835-0702618,8912,96.7,0.00,-96.70,77.48,0.00,None,NULL
112-6746122-2181860,7245,51.27,0.00,-51.27,None,0.00,None,0.00
114-1599322-5264245,7246,10.94,0.00,-10.94,None,0.00,None,0.00
112-3097010-8308242,8606,14.86,-12.40,-27.26,18.79,-13.33,23.14,-22.71
114-5081767-3264209,9553,69.84,0.00,-69.84,78.47,0.00,None,NULL
114-9900926-2402608,8722,199.69,0.00,-199.69,81.89,0.00,None,NULL
112-3678401-7024243,9498,69.84,0.00,-69.84,78.47,0.00,None,NULL
112-9120943-0596253,991,49.45,0.00,-49.45,14.13,0.00,19.94,0.00
111-7267457-7969825,9672,488.41,0.00,-488.41,86.12,0.00,None,NULL
114-3900951-2094641,8723,264.89,0.00,-264.89,86.88,0.00,662.22,NULL
112-1306657-2427460,8955,12.45,-11.22,-23.67,22.2,-17.01,28.54,-32.63
112-4891643-8568258,7106,3.64,0.00,-3.64,None,0.00,None,0.00
114-9623920-2930647,8954,0.5,-7.88,-8.38,1.48,-19.85,1.5,-29.68
114-0697285-9676266,9134,-14.84,-18.79,-3.95,-11.8,-14.94,-13.91,-17.61
113-8118699-6225068,8486,94.57,0.00,-94.57,73.37,0.00,None,NULL
113-9670027-4605814,9662,46.47,0.00,-46.47,67.87,0.00,None,NULL
113-2735421-8685068,8563,181.78,0.00,-181.78,75.1,0.00,None,NULL
112-8577673-1178658,1062,-31.12,-9.80,21.32,0.0,NULL,-696.2,NULL
114-0275452-8499401,8062,-212.92,-164.44,48.48,-48.41,-37.39,-34.48,-28.90
113-3057239-0390638,5898,-15980.27,-13073.27,2907.00,-1120.79,-916.91,-92.95,-91.52
113-6323811-7713869,9374,-58.78,0.00,58.78,-39.52,0.00,-28.33,0.00
111-9638655-3026634,7931,41.11,0.00,-41.11,16.32,0.00,25.23,0.00
113-8715621-0557820,5612,-1509.82,-1486.42,23.40,-277.81,-273.50,-76.57,-76.29
111-8512589-0397829,9378,35.49,0.00,-35.49,71.02,0.00,None,NULL
111-5668386-4951422,9377,50.99,0.00,-50.99,72.88,0.00,None,NULL
111-3065143-4054661,5616,68.29,0.00,-68.29,None,0.00,None,NULL
114-3800123-2490622,9380,78.64,0.00,-78.64,79.43,0.00,None,NULL
113-7440906-3344233,5622,85.03,0.00,-85.03,None,0.00,None,NULL
112-4612944-4095433,5633,-189.24,-179.79,9.45,-77.47,-73.61,-47.68,-46.41
114-6702920-4875448,1100,-7.69,0.00,7.69,None,NULL,None,NULL
112-5979824-2328215,1007,-41.26,-11.75,29.51,0.0,NULL,-944.16,NULL
114-4502452-8613011,9851,42.2,0.00,-42.20,70.78,0.00,None,NULL
112-8446085-6153821,5636,7.79,0.00,-7.79,3.66,0.00,4.5,0.00
113-9009663-1997029,8834,42.3,-14.41,-56.71,19.67,-5.70,24.49,-8.69
114-8809874-5217846,5640,121.96,0.00,-121.96,None,0.00,None,NULL
114-7490028-8813807,5646,-79.53,-74.21,5.32,-45.97,-42.90,-35.1,-33.54
114-7127422-5918608,5647,-791.36,-768.68,22.68,-160.05,-155.46,-63.86,-63.18
114-1356606-4539444,9381,52.24,0.00,-52.24,75.71,0.00,None,NULL
111-9231726-2876256,9383,42.14,0.00,-42.14,70.27,0.00,None,NULL
113-0850497-0126641,5658,-716.47,-683.37,33.10,-243.3,-232.06,-74.11,-73.19
114-9997294-0584264,5663,2.56,0.00,-2.56,5.61,0.00,7.06,0.00
113-0029754-5278614,5745,82.35,0.00,-82.35,None,0.00,None,NULL
112-9358960-3314648,5701,-4724.9,-4673.78,51.12,-549.41,-543.46,-86.6,-86.47
113-0536978-5259430,5747,-3562.63,-3445.63,117.00,-717.65,-694.08,-89.08,-88.75
114-1902787-9571424,5779,-146.11,-114.31,31.80,-118.5,-92.71,-57.39,-51.30
111-2911706-0122634,8774,92.8,0.00,-92.80,85.0,0.00,None,NULL
113-5748466-0392237,9665,-30.5,0.00,30.50,None,NULL,None,NULL
111-3253255-8279426,5755,250.81,0.00,-250.81,None,0.00,None,NULL
111-4107985-0520206,9913,7.69,-9.95,-17.64,15.87,-17.46,18.87,-30.60
113-2654771-4824240,5770,-341.78,-325.76,16.02,-61.42,-58.54,-40.37,-39.22
113-2270092-6793800,5773,-51.99,-48.03,3.96,-42.59,-39.34,-33.38,-31.64
113-7130323-2575462,8922,19.98,-9.79,-29.77,33.39,-13.91,50.14,-30.43
111-2838475-8109859,9746,-17.92,0.00,17.92,None,NULL,None,NULL
112-3362949-9098646,9387,-8.48,0.00,8.48,None,NULL,None,NULL
112-2743998-0987449,9414,-12.07,0.00,12.07,-47.39,0.00,-32.15,0.00
111-4989230-1961018,9412,-36.01,0.00,36.01,-25.07,0.00,-20.04,0.00
111-0574915-6931465,9413,69.84,0.00,-69.84,78.47,0.00,None,NULL
113-3636466-6436213,9470,144.2,-8.58,-152.78,96.96,-5.08,3190.27,NULL
113-0319035-3433036,10052,-4.62,0.00,4.62,None,NULL,None,NULL
113-5096979-8063456,8672,203.44,0.00,-203.44,81.95,0.00,None,NULL
113-6765063-4903453,8668,0.87,0.00,-0.87,8.76,0.00,None,NULL
113-1888386-7113839,9014,-200.91,-12.60,188.31,-119.78,-7.51,-59.81,-3.75
111-7864998-5469819,5826,484.88,0.00,-484.88,None,0.00,None,NULL
113-7313707-8289811,8219,22.9,0.00,-22.90,67.57,0.00,None,NULL
111-8284666-1291404,9426,-12.18,-9.71,2.47,-29.24,-19.82,-22.63,-21.30
